Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 768, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 6,291,456
  value_embeds            : 18,874,368
  lm_head                 : 6,291,456
  transformer_matrices    : 56,623,680
  scalars                 : 12
  total                   : 88,080,972
Estimated FLOPs per token: 4.529883e+08
Scaling AdamW LRs by 1/sqrt(768/768) = 1.000000
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011235 | lrm: 1.00 | dt: 15237ms | tok/sec: 17,204 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.714343 | lrm: 1.00 | dt: 249ms | tok/sec: 1,052,836 | mfu: 48.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.130410 | lrm: 1.00 | dt: 252ms | tok/sec: 1,039,277 | mfu: 47.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.693386 | lrm: 1.00 | dt: 255ms | tok/sec: 1,028,879 | mfu: 47.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.388203 | lrm: 1.00 | dt: 273ms | tok/sec: 959,211 | mfu: 43.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.142516 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,210 | mfu: 46.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.941805 | lrm: 1.00 | dt: 317ms | tok/sec: 827,504 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.775773 | lrm: 1.00 | dt: 285ms | tok/sec: 921,031 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.631491 | lrm: 1.00 | dt: 259ms | tok/sec: 1,010,731 | mfu: 46.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.509102 | lrm: 1.00 | dt: 258ms | tok/sec: 1,017,022 | mfu: 46.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.408874 | lrm: 1.00 | dt: 276ms | tok/sec: 950,540 | mfu: 43.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.316942 | lrm: 1.00 | dt: 263ms | tok/sec: 996,360 | mfu: 45.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.231998 | lrm: 1.00 | dt: 258ms | tok/sec: 1,017,373 | mfu: 46.6% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.160835 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,945 | mfu: 46.2% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 6.097173 | lrm: 1.00 | dt: 261ms | tok/sec: 1,004,175 | mfu: 46.0% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 6.037092 | lrm: 1.00 | dt: 263ms | tok/sec: 995,582 | mfu: 45.6% | epoch: 1 | remaining: 299s    
step 00016 (0.4%) | loss: 5.982936 | lrm: 1.00 | dt: 261ms | tok/sec: 1,004,845 | mfu: 46.0% | epoch: 1 | remaining: 298s    
step 00017 (0.5%) | loss: 5.930967 | lrm: 1.00 | dt: 263ms | tok/sec: 997,408 | mfu: 45.7% | epoch: 1 | remaining: 298s    
step 00018 (0.6%) | loss: 5.884664 | lrm: 1.00 | dt: 263ms | tok/sec: 998,550 | mfu: 45.7% | epoch: 1 | remaining: 298s    
step 00019 (0.7%) | loss: 5.842213 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,308 | mfu: 45.8% | epoch: 1 | remaining: 298s    
step 00020 (0.8%) | loss: 5.801452 | lrm: 1.00 | dt: 259ms | tok/sec: 1,011,812 | mfu: 46.3% | epoch: 1 | remaining: 297s    
step 00021 (0.9%) | loss: 5.765135 | lrm: 1.00 | dt: 260ms | tok/sec: 1,008,708 | mfu: 46.2% | epoch: 1 | remaining: 297s    
step 00022 (1.0%) | loss: 5.733305 | lrm: 1.00 | dt: 263ms | tok/sec: 995,763 | mfu: 45.6% | epoch: 1 | remaining: 297s    
step 00023 (1.0%) | loss: 5.702950 | lrm: 1.00 | dt: 258ms | tok/sec: 1,015,899 | mfu: 46.5% | epoch: 1 | remaining: 297s    
step 00024 (1.1%) | loss: 5.675040 | lrm: 1.00 | dt: 259ms | tok/sec: 1,013,371 | mfu: 46.4% | epoch: 1 | remaining: 296s    
step 00025 (1.2%) | loss: 5.647247 | lrm: 1.00 | dt: 259ms | tok/sec: 1,010,303 | mfu: 46.3% | epoch: 1 | remaining: 296s    
step 00026 (1.3%) | loss: 5.620010 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,987 | mfu: 45.9% | epoch: 1 | remaining: 296s    
step 00027 (1.4%) | loss: 5.593607 | lrm: 1.00 | dt: 265ms | tok/sec: 989,997 | mfu: 45.3% | epoch: 1 | remaining: 296s    
step 00028 (1.5%) | loss: 5.572065 | lrm: 1.00 | dt: 263ms | tok/sec: 998,313 | mfu: 45.7% | epoch: 1 | remaining: 295s    
step 00029 (1.6%) | loss: 5.551051 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,478 | mfu: 45.8% | epoch: 1 | remaining: 295s    
step 00030 (1.7%) | loss: 5.526324 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,654 | mfu: 45.9% | epoch: 1 | remaining: 295s    
step 00031 (1.7%) | loss: 5.505409 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,884 | mfu: 46.0% | epoch: 1 | remaining: 295s    
step 00032 (1.8%) | loss: 5.484279 | lrm: 1.00 | dt: 262ms | tok/sec: 999,220 | mfu: 45.7% | epoch: 1 | remaining: 294s    
step 00033 (1.9%) | loss: 5.464404 | lrm: 1.00 | dt: 263ms | tok/sec: 995,901 | mfu: 45.6% | epoch: 1 | remaining: 294s    
step 00034 (2.0%) | loss: 5.443417 | lrm: 1.00 | dt: 260ms | tok/sec: 1,008,122 | mfu: 46.2% | epoch: 1 | remaining: 294s    
step 00035 (2.1%) | loss: 5.421714 | lrm: 1.00 | dt: 262ms | tok/sec: 999,324 | mfu: 45.7% | epoch: 1 | remaining: 293s    
step 00036 (2.2%) | loss: 5.399329 | lrm: 1.00 | dt: 264ms | tok/sec: 993,235 | mfu: 45.5% | epoch: 1 | remaining: 293s    
step 00037 (2.3%) | loss: 5.379067 | lrm: 1.00 | dt: 262ms | tok/sec: 998,737 | mfu: 45.7% | epoch: 1 | remaining: 293s    
step 00038 (2.4%) | loss: 5.357095 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,604 | mfu: 46.1% | epoch: 1 | remaining: 293s    
step 00039 (2.4%) | loss: 5.335863 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,509 | mfu: 45.8% | epoch: 1 | remaining: 292s    
step 00040 (2.5%) | loss: 5.316947 | lrm: 1.00 | dt: 263ms | tok/sec: 995,610 | mfu: 45.6% | epoch: 1 | remaining: 292s    
step 00041 (2.6%) | loss: 5.295864 | lrm: 1.00 | dt: 264ms | tok/sec: 993,721 | mfu: 45.5% | epoch: 1 | remaining: 292s    
step 00042 (2.7%) | loss: 5.276050 | lrm: 1.00 | dt: 263ms | tok/sec: 994,878 | mfu: 45.5% | epoch: 1 | remaining: 292s    
step 00043 (2.8%) | loss: 5.253595 | lrm: 1.00 | dt: 259ms | tok/sec: 1,011,411 | mfu: 46.3% | epoch: 1 | remaining: 291s    
step 00044 (2.9%) | loss: 5.231311 | lrm: 1.00 | dt: 261ms | tok/sec: 1,004,895 | mfu: 46.0% | epoch: 1 | remaining: 291s    
step 00045 (3.0%) | loss: 5.212505 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,796 | mfu: 45.9% | epoch: 1 | remaining: 291s    
step 00046 (3.1%) | loss: 5.189466 | lrm: 1.00 | dt: 263ms | tok/sec: 997,415 | mfu: 45.7% | epoch: 1 | remaining: 291s    
step 00047 (3.1%) | loss: 5.166528 | lrm: 1.00 | dt: 262ms | tok/sec: 998,672 | mfu: 45.7% | epoch: 1 | remaining: 290s    
step 00048 (3.2%) | loss: 5.143472 | lrm: 1.00 | dt: 265ms | tok/sec: 989,865 | mfu: 45.3% | epoch: 1 | remaining: 290s    
step 00049 (3.3%) | loss: 5.116955 | lrm: 1.00 | dt: 263ms | tok/sec: 995,058 | mfu: 45.6% | epoch: 1 | remaining: 290s    
